plasmid_id,plasmid_name,TGframe,orf_frame,strand,start,stop,length_aa,overlap,has_promoter,has_polyA,dist_promoter,dist_polyA,expressible,is_risk
100798,pAAV-syn-FLEX-splitTVA-EGFP-tTA,-,1,-,944,1276,111,outside_target_gene,TRUE,TRUE,338,2281,FALSE,FALSE
100798,pAAV-syn-FLEX-splitTVA-EGFP-tTA,1,3,-,753,2534,594,spanning_target_gene,TRUE,TRUE,147,1023,TRUE,FALSE
100726,FKBP-beta2(616-951)-GFP,-,1,+,4168,4554,129,outside_target_gene,TRUE,TRUE,206,467,FALSE,FALSE
100726,FKBP-beta2(616-951)-GFP,-,2,+,4811,5260,150,outside_target_gene,TRUE,TRUE,849,3727,FALSE,FALSE
100726,FKBP-beta2(616-951)-GFP,1,3,+,666,2765,700,spanning_target_gene,TRUE,TRUE,97,122,TRUE,FALSE
100726,FKBP-beta2(616-951)-GFP,-,3,+,3996,4790,265,outside_target_gene,TRUE,TRUE,34,231,FALSE,FALSE
100726,FKBP-beta2(616-951)-GFP,-,1,-,4305,4841,179,outside_target_gene,TRUE,TRUE,343,180,FALSE,FALSE
100726,FKBP-beta2(616-951)-GFP,-,1,-,1362,1793,144,outside_target_gene,TRUE,TRUE,793,1094,FALSE,FALSE
100862,pEGFP-mSPDEF deltaN2,1,1,+,553,2124,524,spanning_target_gene,TRUE,TRUE,44,129,TRUE,FALSE
100862,pEGFP-mSPDEF deltaN2,-,1,+,4177,4626,150,outside_target_gene,TRUE,TRUE,849,3153,FALSE,FALSE
100862,pEGFP-mSPDEF deltaN2,-,2,+,3362,4156,265,outside_target_gene,TRUE,TRUE,34,231,FALSE,FALSE
100862,pEGFP-mSPDEF deltaN2,-,3,+,3534,3920,129,outside_target_gene,TRUE,TRUE,206,467,FALSE,FALSE
100862,pEGFP-mSPDEF deltaN2,-,2,-,1329,1673,115,outside_target_gene,TRUE,TRUE,820,580,FALSE,FALSE
100862,pEGFP-mSPDEF deltaN2,-,3,-,3671,4207,179,outside_target_gene,TRUE,TRUE,343,180,FALSE,FALSE
100864,pEGFP-mSPDEF deltaN4,1,1,+,553,2034,494,spanning_target_gene,TRUE,TRUE,44,129,TRUE,FALSE
100864,pEGFP-mSPDEF deltaN4,-,1,+,4087,4536,150,outside_target_gene,TRUE,TRUE,849,3063,FALSE,FALSE
100864,pEGFP-mSPDEF deltaN4,-,2,+,3272,4066,265,outside_target_gene,TRUE,TRUE,34,231,FALSE,FALSE
100864,pEGFP-mSPDEF deltaN4,-,3,+,3444,3830,129,outside_target_gene,TRUE,TRUE,206,467,FALSE,FALSE
100864,pEGFP-mSPDEF deltaN4,-,2,-,1281,1583,101,outside_target_gene,TRUE,TRUE,772,580,FALSE,FALSE
100864,pEGFP-mSPDEF deltaN4,-,3,-,3581,4117,179,outside_target_gene,TRUE,TRUE,343,180,FALSE,FALSE
100935,LLP109 pEF1a-gRNA-GFP,1,2,+,1472,2848,459,spanning_target_gene,TRUE,TRUE,12,446,TRUE,FALSE
100935,LLP109 pEF1a-gRNA-GFP,-,3,+,837,1274,146,outside_target_gene,TRUE,TRUE,325,2020,FALSE,FALSE
100935,LLP109 pEF1a-gRNA-GFP,-,1,-,579,1199,207,outside_target_gene,TRUE,TRUE,67,2095,FALSE,FALSE
100935,LLP109 pEF1a-gRNA-GFP,-,2,-,2216,3007,264,outside_target_gene,TRUE,TRUE,756,287,FALSE,FALSE
100935,LLP109 pEF1a-gRNA-GFP,-,3,-,5041,5901,287,outside_target_gene,TRUE,TRUE,1082,3430,FALSE,FALSE
100297,AV09_pDonor.EP.S1.TS,-,1,+,1531,1974,148,outside_target_gene,TRUE,TRUE,1376,1725,FALSE,FALSE
100297,AV09_pDonor.EP.S1.TS,1,1,+,2272,3663,464,spanning_target_gene,TRUE,TRUE,22,36,TRUE,FALSE
100297,AV09_pDonor.EP.S1.TS,-,3,+,111,491,127,outside_target_gene,TRUE,TRUE,43,3208,FALSE,FALSE
100297,AV09_pDonor.EP.S1.TS,-,1,-,6632,7492,287,outside_target_gene,TRUE,TRUE,1019,4231,FALSE,FALSE
100297,AV09_pDonor.EP.S1.TS,-,2,-,1000,1401,134,outside_target_gene,TRUE,TRUE,845,2298,FALSE,FALSE
100297,AV09_pDonor.EP.S1.TS,-,3,-,5199,5570,124,outside_target_gene,TRUE,TRUE,2949,6153,FALSE,FALSE
102782,pOEM-GED-EGFP,-,1,+,892,1407,172,outside_target_gene,TRUE,TRUE,1909,2137,FALSE,FALSE
102782,pOEM-GED-EGFP,1,1,+,2089,2817,243,spanning_target_gene,TRUE,TRUE,44,727,TRUE,FALSE
102782,pOEM-GED-EGFP,-,1,+,6163,7023,287,outside_target_gene,TRUE,TRUE,0,3701,FALSE,FALSE
102782,pOEM-GED-EGFP,-,2,+,2918,3436,173,outside_target_gene,TRUE,TRUE,873,108,FALSE,FALSE
102782,pOEM-GED-EGFP,-,2,+,4319,4924,202,outside_target_gene,TRUE,TRUE,85,5800,FALSE,FALSE
102782,pOEM-GED-EGFP,-,1,-,4962,5594,211,outside_target_gene,TRUE,TRUE,728,5130,FALSE,FALSE
102782,pOEM-GED-EGFP,-,1,-,3789,4133,115,outside_target_gene,TRUE,TRUE,1744,6591,FALSE,FALSE
102782,pOEM-GED-EGFP,-,2,-,2915,3454,180,outside_target_gene,TRUE,TRUE,870,90,FALSE,FALSE
100520,pLC242-GFP-SAMTOR,-,1,+,3991,4389,133,outside_target_gene,TRUE,TRUE,7,46,FALSE,FALSE
100520,pLC242-GFP-SAMTOR,-,2,+,3617,3931,105,outside_target_gene,TRUE,TRUE,3146,504,FALSE,FALSE
100520,pLC242-GFP-SAMTOR,1,3,+,1392,3473,694,spanning_target_gene,TRUE,TRUE,921,962,TRUE,FALSE
100520,pLC242-GFP-SAMTOR,-,1,-,6076,6936,287,outside_target_gene,TRUE,TRUE,1048,135,FALSE,FALSE
100520,pLC242-GFP-SAMTOR,-,1,-,3895,4293,133,outside_target_gene,TRUE,TRUE,3424,142,FALSE,FALSE
100520,pLC242-GFP-SAMTOR,-1,2,-,1377,2510,378,spanning_target_gene,TRUE,TRUE,906,1925,TRUE,TRUE
100869,pEGFP-mSPDEF deltaNC2,1,1,+,553,1836,428,spanning_target_gene,TRUE,TRUE,44,108,TRUE,FALSE
100869,pEGFP-mSPDEF deltaNC2,-,1,+,3868,4317,150,outside_target_gene,TRUE,TRUE,849,2844,FALSE,FALSE
100869,pEGFP-mSPDEF deltaNC2,-,2,+,3053,3847,265,outside_target_gene,TRUE,TRUE,34,231,FALSE,FALSE
100869,pEGFP-mSPDEF deltaNC2,-,3,+,3225,3611,129,outside_target_gene,TRUE,TRUE,206,467,FALSE,FALSE
100869,pEGFP-mSPDEF deltaNC2,-,2,-,1281,1628,116,outside_target_gene,TRUE,TRUE,772,316,FALSE,FALSE
100869,pEGFP-mSPDEF deltaNC2,-,3,-,3362,3898,179,outside_target_gene,TRUE,TRUE,343,180,FALSE,FALSE
100047,pAAV.CAG.LSL.EGFP,-,1,+,436,783,116,outside_target_gene,TRUE,TRUE,2116,1367,FALSE,FALSE
100047,pAAV.CAG.LSL.EGFP,1,1,+,2896,3615,240,spanning_target_gene,TRUE,TRUE,2090,83,TRUE,FALSE
100047,pAAV.CAG.LSL.EGFP,-,3,+,4986,5846,287,outside_target_gene,TRUE,TRUE,0,2970,FALSE,FALSE
100047,pAAV.CAG.LSL.EGFP,-3,3,-,3584,3898,105,partial_target_gene,TRUE,TRUE,2778,4918,TRUE,TRUE
100047,pAAV.CAG.LSL.EGFP,-,3,-,1502,1801,100,outside_target_gene,TRUE,TRUE,696,349,FALSE,FALSE
100047,pAAV.CAG.LSL.EGFP,-,3,-,887,1495,203,outside_target_gene,TRUE,TRUE,81,655,FALSE,FALSE
102417,pVC-Ds-E1b:eGFP-Ds,3,1,+,1552,2442,297,spanning_target_gene,TRUE,TRUE,905,192,TRUE,TRUE
102417,pVC-Ds-E1b:eGFP-Ds,1,2,+,1598,2425,276,spanning_target_gene,TRUE,TRUE,951,209,TRUE,FALSE
102417,pVC-Ds-E1b:eGFP-Ds,-,2,+,2822,3127,102,outside_target_gene,TRUE,TRUE,2175,4844,FALSE,FALSE
102417,pVC-Ds-E1b:eGFP-Ds,-,1,-,4351,5211,287,outside_target_gene,TRUE,TRUE,1082,2760,FALSE,FALSE
100735,FKBP-GTSE1(638-720)-GFP,-,1,+,3391,3777,129,outside_target_gene,TRUE,TRUE,206,467,FALSE,FALSE
100735,FKBP-GTSE1(638-720)-GFP,-,2,+,4034,4483,150,outside_target_gene,TRUE,TRUE,849,2956,FALSE,FALSE
100735,FKBP-GTSE1(638-720)-GFP,1,3,+,660,1988,443,spanning_target_gene,TRUE,TRUE,97,122,TRUE,FALSE
100735,FKBP-GTSE1(638-720)-GFP,-,3,+,3219,4013,265,outside_target_gene,TRUE,TRUE,34,231,FALSE,FALSE
100735,FKBP-GTSE1(638-720)-GFP,-,1,-,3528,4064,179,outside_target_gene,TRUE,TRUE,343,180,FALSE,FALSE
100735,FKBP-GTSE1(638-720)-GFP,-2,2,-,905,1312,136,partial_target_gene,TRUE,TRUE,342,798,TRUE,TRUE
105303,pEGFP Tubulin K40R,-,1,+,4840,5226,129,outside_target_gene,TRUE,TRUE,206,467,FALSE,FALSE
105303,pEGFP Tubulin K40R,1,2,+,1340,3430,697,spanning_target_gene,TRUE,TRUE,44,129,TRUE,FALSE
105303,pEGFP Tubulin K40R,-,2,+,5483,5932,150,outside_target_gene,TRUE,TRUE,849,3672,FALSE,FALSE
105303,pEGFP Tubulin K40R,-,3,+,2301,2618,106,outside_target_gene,TRUE,TRUE,1005,941,FALSE,FALSE
105303,pEGFP Tubulin K40R,-,3,+,4668,5462,265,outside_target_gene,TRUE,TRUE,34,231,FALSE,FALSE
105303,pEGFP Tubulin K40R,-,2,-,4977,5513,179,outside_target_gene,TRUE,TRUE,343,180,FALSE,FALSE
105303,pEGFP Tubulin K40R,-,3,-,2546,3001,152,outside_target_gene,TRUE,TRUE,1250,558,FALSE,FALSE
100043,pAAV.synP.DIO.EGFP.WPRE.hGH,-,1,+,175,627,151,outside_target_gene,TRUE,TRUE,1877,1617,FALSE,FALSE
100043,pAAV.synP.DIO.EGFP.WPRE.hGH,-,2,+,1580,2326,249,outside_target_gene,TRUE,TRUE,982,5438,FALSE,FALSE
100043,pAAV.synP.DIO.EGFP.WPRE.hGH,-,2,+,3818,4678,287,outside_target_gene,TRUE,TRUE,0,3086,FALSE,FALSE
100043,pAAV.synP.DIO.EGFP.WPRE.hGH,-,3,+,1728,2261,178,outside_target_gene,TRUE,TRUE,1130,5503,FALSE,FALSE
100043,pAAV.synP.DIO.EGFP.WPRE.hGH,-,3,+,2559,2999,147,outside_target_gene,TRUE,TRUE,1961,4765,FALSE,FALSE
100043,pAAV.synP.DIO.EGFP.WPRE.hGH,1,2,-,753,1484,244,spanning_target_gene,TRUE,TRUE,155,760,TRUE,FALSE
100043,pAAV.synP.DIO.EGFP.WPRE.hGH,-,3,-,2609,2956,116,outside_target_gene,TRUE,TRUE,2011,4808,FALSE,FALSE
100296,AV11_pDonor.EP.S1,-,1,+,1531,1974,148,outside_target_gene,TRUE,TRUE,1376,1721,FALSE,FALSE
100296,AV11_pDonor.EP.S1,1,1,+,2272,3663,464,spanning_target_gene,TRUE,TRUE,22,32,TRUE,FALSE
100296,AV11_pDonor.EP.S1,-,3,+,111,491,127,outside_target_gene,TRUE,TRUE,43,3204,FALSE,FALSE
100296,AV11_pDonor.EP.S1,-,1,-,1000,1401,134,outside_target_gene,TRUE,TRUE,845,2294,FALSE,FALSE
100296,AV11_pDonor.EP.S1,-,2,-,5211,5534,108,outside_target_gene,TRUE,TRUE,2961,6042,FALSE,FALSE
100296,AV11_pDonor.EP.S1,-,3,-,6596,7456,287,outside_target_gene,TRUE,TRUE,1019,4120,FALSE,FALSE
100867,pEGFP-mSPDEF deltaC2 ,1,1,+,553,2043,497,spanning_target_gene,TRUE,TRUE,44,108,TRUE,FALSE
100867,pEGFP-mSPDEF deltaC2 ,-,1,+,4075,4524,150,outside_target_gene,TRUE,TRUE,849,3051,FALSE,FALSE
100867,pEGFP-mSPDEF deltaC2 ,-,2,+,3260,4054,265,outside_target_gene,TRUE,TRUE,34,231,FALSE,FALSE
100867,pEGFP-mSPDEF deltaC2 ,-,3,+,3432,3818,129,outside_target_gene,TRUE,TRUE,206,467,FALSE,FALSE
100867,pEGFP-mSPDEF deltaC2 ,-,2,-,1491,1835,115,outside_target_gene,TRUE,TRUE,982,316,FALSE,FALSE
100867,pEGFP-mSPDEF deltaC2 ,-,3,-,3569,4105,179,outside_target_gene,TRUE,TRUE,343,180,FALSE,FALSE
104562,pcDNA-Nup37-EGFP-polyA,1,1,+,853,2568,572,spanning_target_gene,TRUE,TRUE,33,553,TRUE,FALSE
104562,pcDNA-Nup37-EGFP-polyA,-,1,+,2626,3096,157,outside_target_gene,TRUE,TRUE,1806,25,FALSE,FALSE
104562,pcDNA-Nup37-EGFP-polyA,-,1,+,4402,4788,129,outside_target_gene,TRUE,TRUE,238,411,FALSE,FALSE
104562,pcDNA-Nup37-EGFP-polyA,-,3,+,4230,5024,265,outside_target_gene,TRUE,TRUE,66,175,FALSE,FALSE
104562,pcDNA-Nup37-EGFP-polyA,-,1,-,2609,2995,129,outside_target_gene,TRUE,TRUE,1789,126,FALSE,FALSE
104562,pcDNA-Nup37-EGFP-polyA,-,3,-,6531,7391,287,outside_target_gene,TRUE,TRUE,1082,3319,FALSE,FALSE
104562,pcDNA-Nup37-EGFP-polyA,-2,3,-,2499,3044,182,partial_target_gene,TRUE,TRUE,1679,77,TRUE,TRUE
100284,AL05_pDonor.DMD,-,1,+,2422,2727,102,outside_target_gene,TRUE,TRUE,2375,1032,FALSE,FALSE
100284,AL05_pDonor.DMD,1,2,+,2759,3733,325,spanning_target_gene,TRUE,TRUE,2712,26,TRUE,FALSE
100284,AL05_pDonor.DMD,-,1,-,7330,8190,287,outside_target_gene,TRUE,TRUE,4353,4179,FALSE,FALSE
100284,AL05_pDonor.DMD,-2,1,-,2428,3057,210,partial_target_gene,TRUE,TRUE,2381,702,TRUE,TRUE
100284,AL05_pDonor.DMD,-,3,-,8384,466,231,outside_target_gene,TRUE,TRUE,88,3293,FALSE,FALSE
100284,AL05_pDonor.DMD,-,3,-,5933,6295,121,outside_target_gene,TRUE,TRUE,2956,6074,FALSE,FALSE
102892,PB-tight-DDdCas9VPPH-T2A-GFP-IRES-Neo,-,1,+,10891,11685,265,outside_target_gene,TRUE,TRUE,9872,307,FALSE,FALSE
102892,PB-tight-DDdCas9VPPH-T2A-GFP-IRES-Neo,-,1,+,13687,14547,287,outside_target_gene,TRUE,TRUE,0,13038,FALSE,FALSE
102892,PB-tight-DDdCas9VPPH-T2A-GFP-IRES-Neo,-,2,+,770,1072,101,outside_target_gene,TRUE,TRUE,615,10920,FALSE,FALSE
102892,PB-tight-DDdCas9VPPH-T2A-GFP-IRES-Neo,1,2,+,1277,10282,3002,spanning_target_gene,TRUE,TRUE,258,1710,TRUE,FALSE
102892,PB-tight-DDdCas9VPPH-T2A-GFP-IRES-Neo,-,2,+,11063,11449,129,outside_target_gene,TRUE,TRUE,10044,543,FALSE,FALSE
102892,PB-tight-DDdCas9VPPH-T2A-GFP-IRES-Neo,-,2,+,12896,13318,141,outside_target_gene,TRUE,TRUE,553,14267,FALSE,FALSE
102892,PB-tight-DDdCas9VPPH-T2A-GFP-IRES-Neo,-,1,-,6908,7288,127,outside_target_gene,TRUE,TRUE,5889,4704,FALSE,FALSE
102892,PB-tight-DDdCas9VPPH-T2A-GFP-IRES-Neo,-,2,-,8008,8463,152,outside_target_gene,TRUE,TRUE,6989,3529,FALSE,FALSE
102892,PB-tight-DDdCas9VPPH-T2A-GFP-IRES-Neo,-,2,-,5923,6591,223,outside_target_gene,TRUE,TRUE,4904,5401,FALSE,FALSE
102892,PB-tight-DDdCas9VPPH-T2A-GFP-IRES-Neo,-,2,-,3748,4197,150,outside_target_gene,TRUE,TRUE,2729,7795,FALSE,FALSE
101866,pKAM-E-Flag-GFP,-,1,+,10096,10947,284,outside_target_gene,TRUE,TRUE,546,5903,FALSE,FALSE
101866,pKAM-E-Flag-GFP,1,2,+,4547,5560,338,spanning_target_gene,TRUE,TRUE,3423,118,TRUE,FALSE
101866,pKAM-E-Flag-GFP,-,3,+,501,938,146,outside_target_gene,TRUE,TRUE,-623,4740,FALSE,FALSE
101866,pKAM-E-Flag-GFP,-,3,+,1134,4307,1058,outside_target_gene,TRUE,TRUE,10,1371,FALSE,FALSE
101866,pKAM-E-Flag-GFP,-2,1,-,4390,4884,165,partial_target_gene,TRUE,TRUE,3266,794,TRUE,TRUE
101866,pKAM-E-Flag-GFP,-,1,-,1111,1476,122,outside_target_gene,TRUE,TRUE,-13,4202,FALSE,FALSE
101866,pKAM-E-Flag-GFP,-,2,-,9930,10391,154,outside_target_gene,TRUE,TRUE,380,6459,FALSE,FALSE
101866,pKAM-E-Flag-GFP,-,2,-,243,863,207,outside_target_gene,TRUE,TRUE,-881,4815,FALSE,FALSE
101866,pKAM-E-Flag-GFP,-,3,-,7601,8461,287,outside_target_gene,TRUE,TRUE,1082,152,FALSE,FALSE
101866,pKAM-E-Flag-GFP,-,3,-,2690,3061,124,outside_target_gene,TRUE,TRUE,1566,2617,FALSE,FALSE
105510,LRG/Rosa26,-,1,+,5350,6210,287,outside_target_gene,TRUE,TRUE,0,5176,FALSE,FALSE
105510,LRG/Rosa26,1,2,+,2528,3274,249,spanning_target_gene,TRUE,TRUE,25,675,TRUE,FALSE
105510,LRG/Rosa26,-,2,+,3380,3889,170,outside_target_gene,TRUE,TRUE,877,60,FALSE,FALSE
105510,LRG/Rosa26,-,3,+,951,1826,292,outside_target_gene,TRUE,TRUE,542,2123,FALSE,FALSE
105510,LRG/Rosa26,-,3,+,2085,2393,103,outside_target_gene,TRUE,TRUE,131,1556,FALSE,FALSE
105510,LRG/Rosa26,-,3,+,3393,3923,177,outside_target_gene,TRUE,TRUE,890,26,FALSE,FALSE
105510,LRG/Rosa26,-,1,-,7294,156,100,outside_target_gene,TRUE,TRUE,1944,3793,FALSE,FALSE
105510,LRG/Rosa26,-,1,-,2203,2529,109,outside_target_gene,TRUE,TRUE,249,1420,FALSE,FALSE
105510,LRG/Rosa26,-,3,-,866,1246,127,outside_target_gene,TRUE,TRUE,457,2703,FALSE,FALSE
102885,PB-CAG-DDdCas9VP192-T2A-GFP-IRES-Neo,1,1,+,865,7257,2131,spanning_target_gene,TRUE,TRUE,1552,1705,TRUE,FALSE
102885,PB-CAG-DDdCas9VP192-T2A-GFP-IRES-Neo,-,1,+,7861,8655,265,outside_target_gene,TRUE,TRUE,8548,307,FALSE,FALSE
102885,PB-CAG-DDdCas9VP192-T2A-GFP-IRES-Neo,-,1,+,10657,11517,287,outside_target_gene,TRUE,TRUE,0,10850,FALSE,FALSE
102885,PB-CAG-DDdCas9VP192-T2A-GFP-IRES-Neo,-,1,+,13243,170,111,outside_target_gene,TRUE,TRUE,525,8792,FALSE,FALSE
102885,PB-CAG-DDdCas9VP192-T2A-GFP-IRES-Neo,-,2,+,8033,8419,129,outside_target_gene,TRUE,TRUE,8720,543,FALSE,FALSE
102885,PB-CAG-DDdCas9VP192-T2A-GFP-IRES-Neo,-,2,+,9866,10288,141,outside_target_gene,TRUE,TRUE,553,12079,FALSE,FALSE
102885,PB-CAG-DDdCas9VP192-T2A-GFP-IRES-Neo,-2,1,-,5766,6581,272,partial_target_gene,TRUE,TRUE,6453,2381,TRUE,TRUE
102885,PB-CAG-DDdCas9VP192-T2A-GFP-IRES-Neo,-,1,-,3591,4040,150,outside_target_gene,TRUE,TRUE,4278,4922,FALSE,FALSE
102885,PB-CAG-DDdCas9VP192-T2A-GFP-IRES-Neo,-,3,-,733,1032,100,outside_target_gene,TRUE,TRUE,1420,7930,FALSE,FALSE
102885,PB-CAG-DDdCas9VP192-T2A-GFP-IRES-Neo,-,3,-,121,726,202,outside_target_gene,TRUE,TRUE,808,8236,FALSE,FALSE
100863,pEGFP-mSPDEF deltaN3 ,1,1,+,553,2079,509,spanning_target_gene,TRUE,TRUE,44,129,TRUE,FALSE
100863,pEGFP-mSPDEF deltaN3 ,-,1,+,4132,4581,150,outside_target_gene,TRUE,TRUE,849,3108,FALSE,FALSE
100863,pEGFP-mSPDEF deltaN3 ,-,2,+,3317,4111,265,outside_target_gene,TRUE,TRUE,34,231,FALSE,FALSE
100863,pEGFP-mSPDEF deltaN3 ,-,3,+,3489,3875,129,outside_target_gene,TRUE,TRUE,206,467,FALSE,FALSE
100863,pEGFP-mSPDEF deltaN3 ,-,2,-,1281,1628,116,outside_target_gene,TRUE,TRUE,772,580,FALSE,FALSE
100863,pEGFP-mSPDEF deltaN3 ,-,3,-,3626,4162,179,outside_target_gene,TRUE,TRUE,343,180,FALSE,FALSE
101287,MRLC-DD-pIRES-EGFP-AP4-mito,-,1,+,5038,5424,129,outside_target_gene,TRUE,TRUE,238,409,FALSE,FALSE
101287,MRLC-DD-pIRES-EGFP-AP4-mito,-,2,+,716,1234,173,outside_target_gene,TRUE,TRUE,46,2523,FALSE,FALSE
101287,MRLC-DD-pIRES-EGFP-AP4-mito,1,3,+,1830,3725,632,spanning_target_gene,TRUE,TRUE,1160,32,TRUE,FALSE
101287,MRLC-DD-pIRES-EGFP-AP4-mito,-,3,+,4866,5660,265,outside_target_gene,TRUE,TRUE,66,173,FALSE,FALSE
101287,MRLC-DD-pIRES-EGFP-AP4-mito,-,1,-,7165,8025,287,outside_target_gene,TRUE,TRUE,1082,4105,FALSE,FALSE
101287,MRLC-DD-pIRES-EGFP-AP4-mito,-,1,-,691,1158,156,outside_target_gene,TRUE,TRUE,21,2599,FALSE,FALSE
101287,MRLC-DD-pIRES-EGFP-AP4-mito,-,2,-,5175,5711,179,outside_target_gene,TRUE,TRUE,375,122,FALSE,FALSE
101287,MRLC-DD-pIRES-EGFP-AP4-mito,-,3,-,2927,3571,215,outside_target_gene,TRUE,TRUE,2257,186,FALSE,FALSE
101287,MRLC-DD-pIRES-EGFP-AP4-mito,-2,3,-,2501,2845,115,partial_target_gene,TRUE,TRUE,1831,912,TRUE,TRUE
101289,GFP-mROCK1-delta1,1,1,+,1333,3201,623,spanning_target_gene,TRUE,TRUE,44,144,TRUE,FALSE
101289,GFP-mROCK1-delta1,-,1,+,5269,5718,150,outside_target_gene,TRUE,TRUE,849,3465,FALSE,FALSE
101289,GFP-mROCK1-delta1,-,2,+,4454,5248,265,outside_target_gene,TRUE,TRUE,34,231,FALSE,FALSE
101289,GFP-mROCK1-delta1,-,3,+,4626,5012,129,outside_target_gene,TRUE,TRUE,206,467,FALSE,FALSE
101289,GFP-mROCK1-delta1,-,1,-,2278,2706,143,outside_target_gene,TRUE,TRUE,989,639,FALSE,FALSE
101289,GFP-mROCK1-delta1,-,3,-,4763,5299,179,outside_target_gene,TRUE,TRUE,343,180,FALSE,FALSE
102540,pMi(3xP3-EGFP),-,1,+,2971,3831,287,outside_target_gene,TRUE,TRUE,0,2836,FALSE,FALSE
